-10% to -20%
7/26/1996, -10.005157297576076
8/2/1996, -13.699360341151387
9/6/1996, -16.626036079960993
10/4/1996, -11.747167561121042
5/2/1997, -11.877201811776544
5/20/1997, -10.335195530726251
10/10/1997, -11.474675033617206
1/13/1998, -10.1713062098501
5/8/1998, -12.05643437366396
8/12/1998, -10.529614540896269
8/18/1998, -10.860012554927811
9/1/1998, -17.615176151761528
9/8/1998, -12.491341491572392
9/14/1998, -11.819844535893923
9/23/1998, -11.33260513380666
10/9/1998, -15.647082576216434
10/15/1998, -14.425051334702252
11/20/1998, -11.882352941176475
12/4/1998, -11.811846689895471
12/18/1998, -10.443490701001435
12/23/1998, -11.281826163301142
1/15/1999, -11.340206185567006
2/22/1999, -11.706484641638223
6/4/1999, -10.572519083969464
6/16/1999, -13.54689309147048
8/11/1999, -10.755711775043933
8/13/1999, -10.866959648421904
9/3/1999, -14.472075010191604
10/6/1999, -11.01250504235579
10/8/1999, -13.104325699745548
10/20/1999, -10.015060240963857
10/28/1999, -11.818181818181817
12/3/1999, -11.254019292604498
1/7/2000, -15.584920326467163
4/7/2000, -10.165745856353585
4/17/2000, -13.556285458345782
5/5/2000, -10.52973675658108
9/28/2000, -10.152284263959404
10/19/2000, -12.639275766016711
12/5/2000, -10.043196544276467
12/8/2000, -11.562746645619573
1/3/2001, -11.303767922640871
4/5/2001, -12.122101555620777
6/21/2001, -10.732381391064035
8/24/2001, -11.336032388663964
9/24/2001, -11.509610876699478
7/24/2002, -17.74659513000413
7/29/2002, -11.771332019149536
10/1/2002, -14.033761652809273
10/10/2002, -10.871113220982686
10/25/2002, -11.842491918895096
12/20/2002, -11.585567692816948
1/2/2003, -11.285814116002795
3/12/2004, -11.465940977261733
3/17/2004, -10.963667649950837
5/25/2004, -11.725614892486103
11/3/2004, -13.226151561280327
4/21/2005, -14.834515366430267
9/16/2005, -10.168134507606082
10/19/2005, -11.937377690802348
10/28/2005, -11.048633613379284
5/25/2006, -10.714234282393019
5/31/2006, -11.897112485054915
6/1/2006, -11.678778393417526
6/29/2006, -17.479417352754908
7/19/2006, -12.344933678091127
7/24/2006, -13.907996498848554
12/11/2006, -11.26760563380281
2/13/2007, -10.93884582256675
2/28/2007, -15.783724740578913
3/6/2007, -18.695832244438222
3/19/2007, -13.102985767114808
6/8/2007, -13.012895662368107
6/13/2007, -11.637672465506906
6/27/2007, -17.787188988883013
7/30/2007, -13.653289201489452
8/2/2007, -10.350697084917627
8/20/2007, -12.204072092054718
10/31/2007, -12.055012840537653
11/6/2007, -12.011517893870828
12/21/2007, -10.25267747943512
3/11/2008, -10.27910492821815
3/20/2008, -10.790884718498656
4/1/2008, -11.440847887875004
6/5/2008, -10.432697323412182
7/8/2008, -10.201745539177665
7/16/2008, -12.05326280773049
8/5/2008, -10.004218818313666
9/30/2008, -15.689194282789876
10/28/2008, -16.362740444666496
10/30/2008, -10.091482288662421
11/3/2008, -10.369026548672574
11/4/2008, -11.084186118514552
11/7/2008, -11.903268200890105
11/21/2008, -10.128606248900098
11/24/2008, -10.967386817118479
1/21/2009, -18.058237962619238
2/24/2009, -13.549999999999999
3/10/2009, -10.688387819723795
10/29/2009, -11.286281363769755
12/1/2009, -10.567078974736411
4/29/2010, -12.523725106131442
5/21/2010, -12.42629666440199
5/27/2010, -15.24843382308219
6/2/2010, -15.109711623441651
8/27/2010, -10.66861527219584
11/18/2010, -13.832680989283535
3/3/2011, -10.144879227053131
3/17/2011, -10.306091940847592
3/21/2011, -15.671031096563018
8/15/2011, -12.348734873487345
8/23/2011, -14.538171536286509
8/26/2011, -10.48790505229
10/4/2011, -10.186996699669965
10/27/2011, -14.735398526456795
12/9/2011, -13.76266753841125
4/12/2012, -14.085914085914087
5/21/2012, -12.31083174867262
6/6/2012, -10.210660539165534
6/14/2012, -10.671652245570662
6/18/2012, -13.216437707247747
6/29/2012, -13.343524432509177
8/3/2012, -10.98468356022563
9/6/2012, -12.063183729885168
9/13/2012, -11.075949367088606
9/27/2012, -11.719214753123135
11/1/2012, -10.268865446846533
11/12/2012, -10.370822138635138
1/2/2013, -18.53496115427303
2/26/2013, -11.163817185983579
2/27/2013, -12.68524007113219
3/20/2013, -11.952744961779018
4/16/2013, -19.166184134336994
4/19/2013, -14.749430523917987
6/13/2013, -11.726734803657878
10/10/2013, -15.91836734693878
12/18/2013, -14.8673658235657
2/4/2014, -10.867537313432845
2/6/2014, -13.634085213032577
2/7/2014, -11.25943122460825
3/4/2014, -11.875000000000002
3/17/2014, -12.233445566778899
6/18/2014, -12.023217247097852
7/18/2014, -17.0563961485557
8/4/2014, -11.21550205519672
9/24/2014, -11.118553248492969
10/8/2014, -12.151162790697674
10/17/2014, -12.738095238095243
10/20/2014, -15.552523874488397
10/21/2014, -13.408723747980625
10/28/2014, -10.286783042394006
12/2/2014, -10.07697690692792
12/17/2014, -17.522274077216796
12/18/2014, -13.528806584362151
1/8/2015, -11.910926980838928
