below -20%
6/15/2006, -25.908632762643414
9/18/2007, -23.149584592145022
11/13/2007, -22.483145706014803
3/18/2008, -20.00620967934543
10/13/2008, -21.38671908506076
10/20/2008, -24.683637805152532
5/10/2010, -29.572649572649578
8/9/2011, -26.95833333333333
12/31/2012, -20.686619718309856
10/16/2013, -21.168274383708464
6/28/2016, -21.383647798742142
11/9/2016, -23.26574172892208
4/24/2017, -25.905673274094333
8/14/2017, -20.502901353965182
2/14/2018, -22.86744092911493
3/13/2020, -23.373525904332848
8/6/2024, -28.156598392533056
11/6/2024, -20.595412396290868
12/20/2024, -23.785803237858033
4/9/2025, -35.7538696732276
